Prozesskategorie;sector;year;5%_potential_neg_overall;5%_potential_pos_overall;5%_potential_pos_overall_shed;5%_installed_cap;50%_potential_neg_overall;50%_potential_pos_overall;50%_potential_pos_overall_shed;50%_installed_cap;95%_potential_neg_overall;95%_potential_pos_overall;95%_potential_pos_overall_shed;95%_installed_cap;5%_specific_investments;5%_fixed_costs;5%_variable_costs;5%_variable_costs_shed;50%_specific_investments;50%_fixed_costs;50%_variable_costs;50%_variable_costs_shed;95%_specific_investments;95%_fixed_costs;95%_variable_costs;95%_variable_costs_shed;5%_interference_duration_neg;5%_interference_duration_pos;5%_interference_duration_pos_shed;5%_maximum_activations_year;5%_maximum_activations_year_shed;5%_regeneration_duration;5%_shifting_duration;50%_interference_duration_neg;50%_interference_duration_pos;50%_interference_duration_pos_shed;50%_maximum_activations_year;50%_maximum_activations_year_shed;50%_regeneration_duration;50%_shifting_duration;95%_interference_duration_neg;95%_interference_duration_pos;95%_interference_duration_pos_shed;95%_maximum_activations_year;95%_maximum_activations_year_shed;95%_regeneration_duration;95%_shifting_duration;cluster
Prozesskälte Handel;tcs;SQ;110.9;110.9;0.0;211.85;389.0;389.0;0.0;486.5;655.4;655.4;0.0;815.8;1168.02;376.9;621.49;0.01;388.69;7.0;327.1;0.01;8.84;0.84;51.49;0.01;2.01;0.0;0.0;292.0;0.0;0.0;2.0;3.0;0.0;0.0;365.0;0.0;0.0;2.5;4.26;0.0;0.0;438.0;0.0;0.0;12.85;112.0
Prozesswärme;tcs;SQ;829.0;194.5;0.0;211.85;1963.0;982.0;0.0;486.5;2045.8;1022.5;0.0;815.8;1168.02;376.9;621.49;0.01;388.69;7.0;327.1;0.01;8.84;0.84;51.49;0.01;2.01;1.64;0.0;292.0;0.0;0.0;2.0;3.0;2.0;0.0;365.0;0.0;0.0;2.5;4.26;4.66;0.0;438.0;0.0;0.0;12.85;112.0
Pumpenanwendungen in der Wasserversorgung;tcs;SQ;135.28;173.92;0.0;251.6;290.0;290.0;0.0;773.0;502.78;425.42;0.0;1469.6;1168.02;376.9;3166.34;0.01;388.69;7.0;752.33;0.01;8.84;0.84;94.01;0.01;2.38;2.38;0.0;328.0;0.0;0.0;2.0;4.75;4.75;0.0;365.0;0.0;0.0;9.0;5.42;5.42;0.0;887.1;0.0;0.0;20.1;112.0
Zerkleinerer;tcs;SQ;2.7;8.91;0.0;28.1;13.68;21.6;0.0;38.0;32.83;44.1;0.0;47.9;1168.02;376.9;621.49;0.01;388.69;7.0;327.1;0.01;8.84;0.84;51.49;0.01;3.28;3.28;0.0;328.0;0.0;0.0;4.99;4.0;4.0;0.0;365.0;0.0;0.0;8.5;4.72;4.72;0.0;402.0;0.0;0.0;21.87;112.0
Gefrierschränke und -truhen;hoho;SQ;0.0;408.0;0.0;2185.3;0.0;780.49;0.0;2431.0;1530.3;1349.7;0.0;6428.84;1130.8;64.82;0.01;0.01;27.12;38.67;0.01;0.01;23.69;6.96;0.01;0.01;0.22;0.22;0.0;1676.0;0.0;0.0;0.27;1.5;2.0;0.0;6570.0;0.0;0.0;0.5;5.12;5.8;0.0;8760.0;0.0;0.0;5.4;12.0
Geschirrspüler;hoho;SQ;0.0;0.0;0.0;52086.2;484.82;0.0;0.0;52232.0;1986.87;1020.0;0.0;87402.9;100.38;759.46;0.01;0.01;87.87;749.29;0.01;0.01;38.96;113.15;0.01;0.01;1.62;1.65;0.0;102.0;0.0;0.0;2.24;2.25;2.25;0.0;266.0;0.0;0.0;18.0;9.75;20.4;0.0;898.25;0.0;0.0;24.0;12.0
Heizungsumwälzpumpen;hoho;SQ;1468.0;1468.0;615.6;2072.5;2283.0;2283.0;1894.69;2500.0;2316.0;2316.0;2716.18;2927.5;6798.23;60.9;0.01;0.01;259.5;8.88;0.01;0.01;135.34;0.89;0.01;0.01;0.0;1.33;0.0;111.6;333.55;0.0;0.22;0.0;2.0;0.0;266.0;365.0;0.0;0.35;0.0;20.4;0.0;924.4;396.45;0.0;1.37;12.0
Kühl- und Gefrierkombinationen;hoho;SQ;500.0;500.0;0.0;19406.97;980.0;980.0;0.0;19901.75;996.0;996.0;0.0;46915.87;615.59;759.46;0.01;0.01;87.87;749.29;0.01;0.01;38.96;63.62;0.01;0.01;0.65;1.33;0.0;111.6;0.0;0.0;0.47;2.0;2.0;0.0;266.0;0.0;0.0;2.0;9.75;20.4;0.0;924.4;0.0;0.0;11.1;12.0
Kühlschränke;hoho;SQ;0.0;548.6;0.0;3687.2;0.0;1317.16;0.0;4103.0;2824.3;1948.3;0.0;5176.45;2938.03;1307.88;0.01;0.01;70.73;1089.9;0.01;0.01;59.19;14.08;0.01;0.01;0.22;0.22;0.0;1676.0;0.0;0.0;0.27;4.0;4.0;0.0;6570.0;0.0;0.0;0.5;13.9;11.2;0.0;8760.0;0.0;0.0;5.4;12.0
Waschmaschinen;hoho;SQ;0.0;0.0;0.0;66032.55;380.36;16.54;0.0;66217.5;2121.15;900.0;0.0;89502.9;100.38;759.46;0.01;0.01;87.87;749.29;0.01;0.01;38.96;113.15;0.01;0.01;0.65;1.33;0.0;111.6;0.0;0.0;1.2;2.0;2.0;0.0;220.0;0.0;0.0;3.5;9.3;20.4;0.0;924.4;0.0;0.0;18.0;12.0
Wäschetrockner;hoho;SQ;0.0;0.0;0.0;35126.75;359.32;0.0;0.0;35700.5;1476.8;1440.0;0.0;108151.95;100.38;759.46;0.01;0.01;87.87;749.29;0.01;0.01;38.96;113.15;0.01;0.01;0.81;1.33;0.0;76.8;0.0;0.0;0.67;1.88;2.0;0.0;160.0;0.0;0.0;3.5;9.75;20.4;0.0;876.0;0.0;0.0;16.8;12.0
Klimakälte;tcs+hoho;SQ;7.24;98.02;0.0;8510.8;869.38;1515.59;0.0;9373.0;7540.45;8937.65;0.0;13183.0;668.23;49.46;4.78;0.01;96.4;16.94;1.11;0.01;72.4;3.49;0.11;0.01;1.12;0.14;0.0;224.85;0.0;0.0;0.28;8.1;0.5;0.0;365.0;0.0;0.0;0.38;11.7;0.95;0.0;858.75;0.0;0.0;1.66;2.0
Nachtspeicherheizungen;tcs+hoho;SQ;2297.5;418.25;0.0;17162.5;6542.5;3591.0;0.0;25975.0;31774.0;16399.5;0.0;38682.5;45.44;41.57;7.12;0.01;25.85;31.55;1.11;0.01;7.79;0.16;0.11;0.01;1.12;1.5;0.0;102.4;0.0;0.0;1.38;8.1;4.9;0.0;160.0;0.0;0.0;7.55;11.7;12.0;0.0;773.35;0.0;0.0;19.5;2.0
Warmwasserbereitstellung;tcs+hoho;SQ;492.5;265.55;0.0;12521.15;1494.0;3580.0;0.0;21445.5;13220.9;6268.84;0.0;22267.65;920.47;79.43;9.45;0.01;145.52;13.18;1.11;0.01;23.15;0.22;0.11;0.01;3.85;2.3;0.0;328.0;0.0;0.0;0.98;8.8;4.4;0.0;365.0;0.0;0.0;9.0;12.0;12.0;0.0;817.8;0.0;0.0;19.5;2.0
Wärmepumpen;tcs+hoho;SQ;0.0;16.0;0.0;1525.75;403.04;660.0;0.0;2269.5;1561.78;1964.82;0.0;3825.0;138.1;129.64;7.12;0.01;0.01;68.23;1.11;0.01;0.01;6.82;0.11;0.01;1.1;1.0;0.0;575.0;0.0;0.0;1.18;2.0;2.0;0.0;639.0;0.0;0.0;3.0;2.8;65.0;0.0;703.0;0.0;0.0;42.25;2.0
