;hourly_mean;daily_mean;equivalent_rolling_weighted_mean
2017-03-12 10:00:00;6.517901234567901;4.359152091906721;4.769369212962962
2017-03-12 11:00:00;7.734156378600822;4.359152091906721;4.769369212962962
2017-03-12 12:00:00;8.619650205761316;4.359152091906721;4.769369212962962
2017-03-12 13:00:00;9.208024691358025;4.359152091906721;4.769369212962962
2017-03-12 14:00:00;9.47551440329218;4.359152091906721;4.769369212962962
2017-03-12 15:00:00;9.32119341563786;4.359152091906721;4.769369212962962
2017-03-12 16:00:00;8.664197530864199;4.359152091906721;4.769369212962962
2017-03-12 17:00:00;7.390123456790123;4.359152091906721;4.769369212962962
2017-03-12 18:00:00;5.784156378600823;4.359152091906721;4.769369212962962
2017-03-12 19:00:00;4.682510288065843;4.359152091906721;4.769369212962962
2017-03-12 20:00:00;3.888271604938271;4.359152091906721;4.769369212962962
2017-03-12 21:00:00;3.171604938271605;4.359152091906721;4.769369212962962
2017-03-12 22:00:00;2.50164609053498;4.359152091906721;4.769369212962962
2017-03-12 23:00:00;1.8909465020576133;4.359152091906721;4.769369212962962
2017-03-13 00:00:00;1.380864197530864;4.515372085048011;4.541891718106996
2017-03-13 01:00:00;0.8695473251028807;4.515372085048011;4.541891718106996
2017-03-13 02:00:00;0.39753086419753086;4.515372085048011;4.541891718106996
2017-03-13 03:00:00;-0.030246913580246906;4.515372085048011;4.541891718106996
2017-03-13 04:00:00;-0.44629629629629625;4.515372085048011;4.541891718106996
2017-03-13 05:00:00;-0.7471193415637859;4.515372085048011;4.541891718106996
2017-03-13 06:00:00;-0.9179012345679012;4.515372085048011;4.541891718106996
2017-03-13 07:00:00;0.2804526748971194;4.515372085048011;4.541891718106996
2017-03-13 08:00:00;2.395679012345679;4.515372085048011;4.541891718106996
2017-03-13 09:00:00;4.504320987654322;4.515372085048011;4.541891718106996
2017-03-13 10:00:00;6.317283950617283;4.515372085048011;4.541891718106996
2017-03-13 11:00:00;7.808230452674897;4.515372085048011;4.541891718106996
2017-03-13 12:00:00;8.858847736625513;4.515372085048011;4.541891718106996
2017-03-13 13:00:00;9.558847736625513;4.515372085048011;4.541891718106996
2017-03-13 14:00:00;9.984156378600824;4.515372085048011;4.541891718106996
2017-03-13 15:00:00;10.0738683127572;4.515372085048011;4.541891718106996
2017-03-13 16:00:00;9.72633744855967;4.515372085048011;4.541891718106996
2017-03-13 17:00:00;8.666872427983538;4.515372085048011;4.541891718106996
2017-03-13 18:00:00;6.925102880658436;4.515372085048011;4.541891718106996
2017-03-13 19:00:00;5.800205761316872;4.515372085048011;4.541891718106996
2017-03-13 20:00:00;5.075514403292181;4.515372085048011;4.541891718106996
2017-03-13 21:00:00;4.461934156378601;4.515372085048011;4.541891718106996
2017-03-13 22:00:00;3.9477366255144037;4.515372085048011;4.541891718106996
2017-03-13 23:00:00;3.4771604938271605;4.515372085048011;4.541891718106996
2017-03-14 00:00:00;3.0960905349794237;6.9260288065843625;5.706257501714678
2017-03-14 01:00:00;2.748148148148148;6.9260288065843625;5.706257501714678
2017-03-14 02:00:00;2.5368312757201648;6.9260288065843625;5.706257501714678
2017-03-14 03:00:00;2.4343621399176953;6.9260288065843625;5.706257501714678
2017-03-14 04:00:00;2.3934156378600817;6.9260288065843625;5.706257501714678
2017-03-14 05:00:00;2.3890946502057613;6.9260288065843625;5.706257501714678
2017-03-14 06:00:00;2.49835390946502;6.9260288065843625;5.706257501714678
2017-03-14 07:00:00;3.338683127572016;6.9260288065843625;5.706257501714678
2017-03-14 08:00:00;5.019958847736626;6.9260288065843625;5.706257501714678
2017-03-14 09:00:00;6.82283950617284;6.9260288065843625;5.706257501714678
2017-03-14 10:00:00;8.465020576131687;6.9260288065843625;5.706257501714678
2017-03-14 11:00:00;9.80082304526749;6.9260288065843625;5.706257501714678
2017-03-14 12:00:00;10.893415637860084;6.9260288065843625;5.706257501714678
2017-03-14 13:00:00;11.674279835390944;6.9260288065843625;5.706257501714678
2017-03-14 14:00:00;12.098559670781896;6.9260288065843625;5.706257501714678
2017-03-14 15:00:00;12.171193415637859;6.9260288065843625;5.706257501714678
2017-03-14 16:00:00;11.83312757201646;6.9260288065843625;5.706257501714678
2017-03-14 17:00:00;10.81090534979424;6.9260288065843625;5.706257501714678
